"airline","delayed_flights_count","total_delay_mins","carrier_delay_pct","late_aircraft_delay_pct","nas_system_delay_pct","weather_delay_pct","security_delay_pct"
WN,168983,9005382,30.72,51.56,13.14,4.49,0.08
DL,84478,5203476,35.87,29.92,25.38,8.78,0.05
AA,81591,5049096,34.19,37.84,21.65,6.18,0.13
EV,79259,4992686,33.88,38.71,24.76,2.65,0.00
UA,76918,4848999,32.64,40.27,21.97,5.11,0.01
OO,72977,4401728,30.98,45.16,19.91,3.81,0.14
MQ,48677,3035355,26.53,38.06,25.14,10.08,0.19
B6,39589,2481148,28.31,39.45,28.40,3.51,0.32
US,36549,1838065,34.62,28.46,32.75,3.84,0.34
NK,23575,1567730,21.96,33.94,41.68,2.20,0.22
F9,17087,1161709,21.21,39.82,37.75,1.23,0.00
AS,14582,715722,32.31,36.89,26.70,3.68,0.41
VX,7699,432124,19.42,37.21,37.02,6.14,0.20
HA,5905,230366,58.18,36.70,1.94,3.04,0.13
