"airline","total_delayed_departures","avg_initial_dep_delay_mins","avg_final_arr_delay_mins","avg_net_airborne_change_mins","airborne_recovery_rate_pct"
UA,84324,62.58,53.84,-8.74,77.24
WN,179895,53.26,48.15,-5.11,73.97
DL,83574,62.64,56.59,-6.05,73.36
AA,75547,65.27,60.19,-5.08,70.46
OO,64050,65.56,62.94,-2.62,66.05
B6,36885,64.91,61.35,-3.56,65.93
VX,6838,59.70,56.17,-3.53,63.26
US,27853,56.07,54.02,-2.06,63.11
EV,67506,68.26,67.05,-1.21,62.67
NK,21365,69.13,68.11,-1.02,61.16
AS,11890,55.05,51.96,-3.09,59.01
MQ,42748,62.82,64.22,1.40,57.35
F9,14250,72.91,74.08,1.17,53.61
HA,3345,49.02,51.12,2.10,29.36
